year	title	type	url size
1975	The Rocky Horror Picture Show	cover	https://movies_and_beyond.org/assets/images/movies/the_rocky_horror_picture_show_1975/large-cover.jpg	144201
1978	The Shout	background	https://movies_and_beyond.org/assets/images/movies/the_shout_1978/background.jpg	253206
1980	Times Square	background	https://movies_and_beyond.org/assets/images/movies/times_square_1980/background.jpg	253211
1981	Priest of Love	background	https://movies_and_beyond.org/assets/images/movies/priest_of_love_1981/background.jpg	253216
1982	Annie	cover	https://movies_and_beyond.org/assets/images/movies/Annie_1982/large-cover.jpg	144221
1982	The Simple-Minded Murderer	background	https://movies_and_beyond.org/assets/images/movies/the_simple_minded_murderer_1982/background.jpg	253226
1983	The Ploughman's Lunch	cover	https://movies_and_beyond.org/assets/images/movies/the_ploughmans_lunch_1983/small-cover.jpg	144231
1984	Dune	background	https://movies_and_beyond.org/assets/images/movies/Dune_1984/background.jpg	253236
1985	Clue	cover	https://movies_and_beyond.org/assets/images/movies/clue_1985/small-cover.jpg	144241
1985	Legend	cover	https://movies_and_beyond.org/assets/images/movies/Legend_1985/small-cover.jpg	144246
1985	Plenty	cover	https://movies_and_beyond.org/assets/images/movies/plenty_1985/large-cover.jpg	144251
1987	Jim & Piraterna Blom	cover	https://movies_and_beyond.org/assets/images/movies/jim_piraterna_blom_1987/small-cover.jpg	144256
1988	Beetlejuice	background	https://movies_and_beyond.org/assets/images/movies/Beetle_Juice_1988/background.jpg	253261
1988	Married to the Mob	cover	https://movies_and_beyond.org/assets/images/movies/Married_to_the_Mob_1988/small-cover.jpg	144266
1988	She's Having a Baby	cover	https://movies_and_beyond.org/assets/images/movies/shes_having_a_baby_1988/large-cover.jpg	144271
1988	Talk Radio	cover	https://movies_and_beyond.org/assets/images/movies/talk_radio_1988/medium-cover.jpg	144276
1988	The Unbearable Lightness of Being	cover	https://movies_and_beyond.org/assets/images/movies/the_unbearable_lightness_of_being_1988/large-cover.jpg	144281
1988	Working Girl	background	https://movies_and_beyond.org/assets/images/movies/Working_Girl_1988/background.jpg	253286
1989	Great Balls of Fire!	cover	https://movies_and_beyond.org/assets/images/movies/great_balls_of_fire_1989/medium-cover.jpg	144291
1989	Scandal	background	https://movies_and_beyond.org/assets/images/movies/scandal_1989/background.jpg	253296
1990	Alice	cover	https://movies_and_beyond.org/assets/images/movies/alice_1990/large-cover.jpg	144301
1990	Miami Blues	cover	https://movies_and_beyond.org/assets/images/movies/miami_blues_1990/large-cover.jpg	144306
1990	The Hunt for Red October	cover	https://movies_and_beyond.org/assets/images/movies/The_Hunt_for_Red_October_1990/medium-cover.jpg	144311
1991	Oscar	cover	https://movies_and_beyond.org/assets/images/movies/oscar_1991/large-cover.jpg	144316
1991	The Marrying Man	cover	https://movies_and_beyond.org/assets/images/movies/the_marrying_man_1991/large-cover.jpg	144321
1992	Glengarry Glen Ross	background	https://movies_and_beyond.org/assets/images/movies/Glengarry_Glen_Ross_1992/background.jpg	253326
1992	Home Alone 2: Lost in New York	cover	https://movies_and_beyond.org/assets/images/movies/Home_Alone_2_Lost_in_New_York_1992/medium-cover.jpg	144331
1992	Prelude to a Kiss	cover	https://movies_and_beyond.org/assets/images/movies/prelude_to_a_kiss_1992/large-cover.jpg	144336
1993	Last Action Hero	cover	https://movies_and_beyond.org/assets/images/movies/last_action_hero_1993/small-cover.jpg	144341
1993	Loaded Weapon 1	cover	https://movies_and_beyond.org/assets/images/movies/loaded_weapon_1_1993/medium-cover.jpg	144346
1993	Malice	cover	https://movies_and_beyond.org/assets/images/movies/malice_1993/large-cover.jpg	144351
1993	Six Degrees of Separation	cover	https://movies_and_beyond.org/assets/images/movies/six_degrees_of_separation_1993/small-cover.jpg	144356
1993	The Three Musketeers	background	https://movies_and_beyond.org/assets/images/movies/the_three_musketeers_1993/background.jpg	253361
1994	The Getaway	cover	https://movies_and_beyond.org/assets/images/movies/the_getaway_1994/large-cover.jpg	144366
1994	The Shadow	cover	https://movies_and_beyond.org/assets/images/movies/the_shadow_1994/large-cover.jpg	144371
1995	Congo	background	https://movies_and_beyond.org/assets/images/movies/congo_1995/background.jpg	253376
1995	Restoration	cover	https://movies_and_beyond.org/assets/images/movies/restoration_1995/small-cover.jpg	144381
1995	Two Bits	cover	https://movies_and_beyond.org/assets/images/movies/two_bits_1995/small-cover.jpg	144386
1996	Breaking the Waves	cover	https://movies_and_beyond.org/assets/images/movies/Breaking_the_Waves_1996/large-cover.jpg	144391
1996	Ghosts of Mississippi	background	https://movies_and_beyond.org/assets/images/movies/ghosts_of_mississippi_1996/background.jpg	253396
1996	Heaven's Prisoners	cover	https://movies_and_beyond.org/assets/images/movies/heavens_prisoners_1996/large-cover.jpg	144401
1996	Muppet Treasure Island	cover	https://movies_and_beyond.org/assets/images/movies/muppet_treasure_island_1996/large-cover.jpg	144406
1996	The Juror	cover	https://movies_and_beyond.org/assets/images/movies/the_juror_1996/small-cover.jpg	144411
1997	Amistad	background	https://movies_and_beyond.org/assets/images/movies/Amistad_1997/background.jpg	253416
1997	Good Will Hunting	cover	https://movies_and_beyond.org/assets/images/movies/Good_Will_Hunting_1997/medium-cover.jpg	144421
1997	Insomnia	cover	https://movies_and_beyond.org/assets/images/movies/insomnia_1997/medium-cover.jpg	144426
1997	McHale's Navy	cover	https://movies_and_beyond.org/assets/images/movies/mchales_navy_1997/medium-cover.jpg	144431
1997	Swept from the Sea	background	https://movies_and_beyond.org/assets/images/movies/swept_from_the_sea_1997/background.jpg	253436
1997	The Edge	background	https://movies_and_beyond.org/assets/images/movies/The_Edge_1997/background.jpg	253441
1998	Apt Pupil	cover	https://movies_and_beyond.org/assets/images/movies/Apt_Pupil_1998/large-cover.jpg	144446
1998	Gods and Monsters	cover	https://movies_and_beyond.org/assets/images/movies/gods_and_monsters_1998/large-cover.jpg	144451
1998	Mercury Rising	cover	https://movies_and_beyond.org/assets/images/movies/Mercury_Rising_1998/large-cover.jpg	144456
1998	Ronin	background	https://movies_and_beyond.org/assets/images/movies/Ronin_1998/background.jpg	253461
1998	The Avengers	background	https://movies_and_beyond.org/assets/images/movies/The_Avengers_1998/background.jpg	253466
1999	Deep Blue Sea	cover	https://movies_and_beyond.org/assets/images/movies/Deep_Blue_Sea_1999/small-cover.jpg	144471
1999	Notting Hill	cover	https://movies_and_beyond.org/assets/images/movies/Notting_Hill_1999/small-cover.jpg	144476
1999	Outside Providence	cover	https://movies_and_beyond.org/assets/images/movies/outside_providence_1999/small-cover.jpg	144481
1999	The Confession	cover	https://movies_and_beyond.org/assets/images/movies/the_confession_1999/medium-cover.jpg	144486
2000	Charlie's Angels	cover	https://movies_and_beyond.org/assets/images/movies/Charlies_Angels_2000/large-cover.jpg	144491
